theta,Feature,theta_raw,std_weight
θ0,(intercept θ0),-7.783101981560707,
θ1,orderinday,-0.02276003472352228,-0.12156050413939085
θ2,totalcost,0.007471704404519212,1.5528405693698994
θ3,day_of_week,-0.19132678226753433,-0.2733548638315159
θ4,classes_per_competition,-0.017295513138726563,-0.2402470185457385
θ5,field_avg_past_entries,0.49636799145987276,1.5661141854853502
θ6,classname_avg_past_entries,1.559344843299891,2.2510815430979676
θ7,horse_futurity,-3.9241446133958,-0.5223607924714164
θ8,horse_novice,0.855565055225431,0.287091212889044
θ9,horse_derby,-0.8731431868695729,-0.11136508195258611
θ10,rider_youth,1.8554203626629648,0.9060071174845018
θ11,rider_adult_plus,-3.2930189043939735,-0.9363428456266898
θ12,fed_NRHA,-2.763826561022637,-1.1355137856445143
θ13,fed_NCHA,-3.261897843982236,-0.3328976100046829
θ14,fed_EXCA,-2.041835096492692,-0.479753872871733
θ15,rider_open,0.29960760932555575,0.12084494381371175
θ16,rider_non_pro,-0.03871543262909922,-0.015742102780633465
θ17,rider_yaroki,1.7019815096664508,0.6992564202086657
θ18,rider_pro,-1.0310775787879254,-0.11240804018198873
θ19,rider_limited,0.13031565946322268,0.03273234066216651
θ20,subtype_cow_horse,-3.666264985130633,-0.28348685845335786
θ21,subtype_premium,-10.837601643822,-0.593448860671291
θ22,subtype_platinum,-4.1318857094926695,-0.3194900816015797
θ23,subtype_trail,-0.6718585839445396,-0.18657733469622803
θ24,subtype_horsemanship,1.3251943580823105,0.39622631178618617
θ25,subtype_pleasure,-1.7664666621798526,-0.4436963968336369
θ26,subtype_hunt_seat,-6.897428355805927,-1.1491020840241792
θ27,subtype_hunter_under_saddle,-5.267990872612014,-1.0579669486507923
θ28,subtype_walk_jog,-1.013631329300045,-0.20700743147682654
θ29,subtype_range_sorting,3.400058012914542e-16,3.400058012914542e-16
θ30,subtype_intermediate,4.311837281943367,0.3724754795158184
θ31,subtype_young_gun,-6.473876975750514,-0.6121546169606009
θ32,is_practice,-4.645741082468953,-0.5653976598415097
θ33,has_prize_shovar,2.6027851861219062,0.26563093305146895
θ34,has_prize_jackpot,-2.12558213598886,-0.9427594541952425
θ35,has_prize_added_money,3.1212557502641447,0.9757307537037125
θ36,prize_jackpot_posted_amount,0.010654258613912766,0.9684430519503613
θ37,prize_added_money_amount,-0.0002400792059006538,-0.5311440658614544
θ38,month_4,-2.2609391034109487,-0.8491335106244554
θ39,month_5,0.27757148002584303,0.07831799093141086
θ40,month_6,-4.301293573227599,-1.2773495030727136
θ41,month_8,-5.168392164422363,-1.5760917267356378
θ42,month_9,-3.5723755134126485,-1.3510322731883098
θ43,month_10,-6.294294793902783,-2.183056232355291
θ44,month_11,-2.5360952266365198,-0.7928046609897391
θ45,month_12,-12.493289356386944,-2.133781810300257
